Date,City,Route,Mode,DayType,Ridership
2001-01-01,Chicago,Total,Bus,U,297192
2001-01-02,Chicago,Total,Bus,W,780827
2001-01-03,Chicago,Total,Bus,W,824923
2001-01-04,Chicago,Total,Bus,W,870021
2001-01-05,Chicago,Total,Bus,W,890426
2001-01-06,Chicago,Total,Bus,A,577401
2001-01-07,Chicago,Total,Bus,U,375831
2001-01-08,Chicago,Total,Bus,W,985221
2001-01-09,Chicago,Total,Bus,W,978377
2001-01-10,Chicago,Total,Bus,W,984884
2001-01-11,Chicago,Total,Bus,W,995561
2001-01-12,Chicago,Total,Bus,W,1018985
2001-01-13,Chicago,Total,Bus,A,591791
2001-01-14,Chicago,Total,Bus,U,373091
2001-01-15,Chicago,Total,Bus,W,675845
2001-01-16,Chicago,Total,Bus,W,1024367
2001-01-17,Chicago,Total,Bus,W,1018690
2001-01-18,Chicago,Total,Bus,W,1006996
2001-01-19,Chicago,Total,Bus,W,909964
2001-01-20,Chicago,Total,Bus,A,582348
2001-01-21,Chicago,Total,Bus,U,378381
2001-01-22,Chicago,Total,Bus,W,1005936
2001-01-23,Chicago,Total,Bus,W,1019983
2001-01-24,Chicago,Total,Bus,W,991661
2001-01-25,Chicago,Total,Bus,W,1004257
2001-01-26,Chicago,Total,Bus,W,965324
2001-01-27,Chicago,Total,Bus,A,590836
2001-01-28,Chicago,Total,Bus,U,368819
2001-01-29,Chicago,Total,Bus,W,953532
2001-01-30,Chicago,Total,Bus,W,982046
2001-01-31,Chicago,Total,Bus,W,999392
2001-02-01,Chicago,Total,Bus,W,1054608
2001-02-02,Chicago,Total,Bus,W,966701
2001-02-03,Chicago,Total,Bus,A,611703
2001-02-04,Chicago,Total,Bus,U,404212
2001-02-05,Chicago,Total,Bus,W,1045944
2001-02-06,Chicago,Total,Bus,W,1039393
2001-02-07,Chicago,Total,Bus,W,1015059
2001-02-08,Chicago,Total,Bus,W,1007760
2001-02-09,Chicago,Total,Bus,W,970826
2001-02-10,Chicago,Total,Bus,A,605404
2001-02-11,Chicago,Total,Bus,U,405433
2001-02-12,Chicago,Total,Bus,W,872330
2001-02-13,Chicago,Total,Bus,W,1050834
2001-02-14,Chicago,Total,Bus,W,1004304
2001-02-15,Chicago,Total,Bus,W,1028938
2001-02-16,Chicago,Total,Bus,W,1033040
2001-02-17,Chicago,Total,Bus,A,591717
2001-02-18,Chicago,Total,Bus,U,388788
2001-02-19,Chicago,Total,Bus,W,782447
2001-02-20,Chicago,Total,Bus,W,1035400
2001-02-21,Chicago,Total,Bus,W,986212
2001-02-22,Chicago,Total,Bus,W,986399
2001-02-23,Chicago,Total,Bus,W,1024235
2001-02-24,Chicago,Total,Bus,A,505193
2001-02-25,Chicago,Total,Bus,U,351637
2001-02-26,Chicago,Total,Bus,W,1009329
2001-02-27,Chicago,Total,Bus,W,1000630
2001-02-28,Chicago,Total,Bus,W,990416
2001-03-01,Chicago,Total,Bus,W,1051889
2001-03-02,Chicago,Total,Bus,W,1062234
2001-03-03,Chicago,Total,Bus,A,678870
2001-03-04,Chicago,Total,Bus,U,385978
2001-03-05,Chicago,Total,Bus,W,863086
2001-03-06,Chicago,Total,Bus,W,1013530
2001-03-07,Chicago,Total,Bus,W,1028462
2001-03-08,Chicago,Total,Bus,W,1000946
2001-03-09,Chicago,Total,Bus,W,1038368
2001-03-10,Chicago,Total,Bus,A,633472
2001-03-11,Chicago,Total,Bus,U,410081
2001-03-12,Chicago,Total,Bus,W,979411
2001-03-13,Chicago,Total,Bus,W,1017685
2001-03-14,Chicago,Total,Bus,W,1025283
2001-03-15,Chicago,Total,Bus,W,960667
2001-03-16,Chicago,Total,Bus,W,923613
2001-03-17,Chicago,Total,Bus,A,602158
2001-03-18,Chicago,Total,Bus,U,412146
2001-03-19,Chicago,Total,Bus,W,1021700
2001-03-20,Chicago,Total,Bus,W,1034388
2001-03-21,Chicago,Total,Bus,W,1029332
2001-03-22,Chicago,Total,Bus,W,1030741
2001-03-23,Chicago,Total,Bus,W,1030685
2001-03-24,Chicago,Total,Bus,A,604139
2001-03-25,Chicago,Total,Bus,U,348817
2001-03-26,Chicago,Total,Bus,W,989316
2001-03-27,Chicago,Total,Bus,W,1017904
2001-03-28,Chicago,Total,Bus,W,1007699
2001-03-29,Chicago,Total,Bus,W,1020098
2001-03-30,Chicago,Total,Bus,W,978244
2001-03-31,Chicago,Total,Bus,A,626223
2001-04-01,Chicago,Total,Bus,U,417716
2001-04-02,Chicago,Total,Bus,W,1023629
2001-04-03,Chicago,Total,Bus,W,1057275
2001-04-04,Chicago,Total,Bus,W,1047634
2001-04-05,Chicago,Total,Bus,W,973118
2001-04-06,Chicago,Total,Bus,W,1015046
2001-04-07,Chicago,Total,Bus,A,642265
2001-04-08,Chicago,Total,Bus,U,437035
2001-04-09,Chicago,Total,Bus,W,998290
2001-04-10,Chicago,Total,Bus,W,1024817
2001-04-11,Chicago,Total,Bus,W,985906
2001-04-12,Chicago,Total,Bus,W,991795
2001-04-13,Chicago,Total,Bus,W,865706
2001-04-14,Chicago,Total,Bus,A,628526
2001-04-15,Chicago,Total,Bus,U,364972
2001-04-16,Chicago,Total,Bus,W,859713
2001-04-17,Chicago,Total,Bus,W,877834
2001-04-18,Chicago,Total,Bus,W,907539
2001-04-19,Chicago,Total,Bus,W,917518
2001-04-20,Chicago,Total,Bus,W,922082
2001-04-21,Chicago,Total,Bus,A,603039
2001-04-22,Chicago,Total,Bus,U,384255
2001-04-23,Chicago,Total,Bus,W,979788
2001-04-24,Chicago,Total,Bus,W,1031150
2001-04-25,Chicago,Total,Bus,W,977794
2001-04-26,Chicago,Total,Bus,W,1028140
2001-04-27,Chicago,Total,Bus,W,1034472
2001-04-28,Chicago,Total,Bus,A,624970
2001-04-29,Chicago,Total,Bus,U,423377
2001-04-30,Chicago,Total,Bus,W,1008390
2001-05-01,Chicago,Total,Bus,W,1067496
2001-05-02,Chicago,Total,Bus,W,1034088
2001-05-03,Chicago,Total,Bus,W,1065048
2001-05-04,Chicago,Total,Bus,W,1046692
2001-05-05,Chicago,Total,Bus,A,637957
2001-05-06,Chicago,Total,Bus,U,417760
2001-05-07,Chicago,Total,Bus,W,1007381
2001-05-08,Chicago,Total,Bus,W,1044379
2001-05-09,Chicago,Total,Bus,W,1041324
2001-05-10,Chicago,Total,Bus,W,1018705
2001-05-11,Chicago,Total,Bus,W,1004068
2001-05-12,Chicago,Total,Bus,A,649008
2001-05-13,Chicago,Total,Bus,U,422270
2001-05-14,Chicago,Total,Bus,W,963027
2001-05-15,Chicago,Total,Bus,W,1035512
2001-05-16,Chicago,Total,Bus,W,995884
2001-05-17,Chicago,Total,Bus,W,1006118
2001-05-18,Chicago,Total,Bus,W,1027834
2001-05-19,Chicago,Total,Bus,A,645603
2001-05-20,Chicago,Total,Bus,U,427040
2001-05-21,Chicago,Total,Bus,W,958236
2001-05-22,Chicago,Total,Bus,W,1019568
2001-05-23,Chicago,Total,Bus,W,978614
2001-05-24,Chicago,Total,Bus,W,973423
2001-05-25,Chicago,Total,Bus,W,988982
2001-05-26,Chicago,Total,Bus,A,512958
2001-05-27,Chicago,Total,Bus,U,390535
2001-05-28,Chicago,Total,Bus,U,392906
2001-05-29,Chicago,Total,Bus,W,1003029
2001-05-30,Chicago,Total,Bus,W,1002940
2001-05-31,Chicago,Total,Bus,W,965359
2001-06-01,Chicago,Total,Bus,W,1057056
2001-06-02,Chicago,Total,Bus,A,618944
2001-06-03,Chicago,Total,Bus,U,432408
2001-06-04,Chicago,Total,Bus,W,1029447
2001-06-05,Chicago,Total,Bus,W,935443
2001-06-06,Chicago,Total,Bus,W,1004243
2001-06-07,Chicago,Total,Bus,W,1004748
2001-06-08,Chicago,Total,Bus,W,1012502
2001-06-09,Chicago,Total,Bus,A,639444
2001-06-10,Chicago,Total,Bus,U,438393
2001-06-11,Chicago,Total,Bus,W,910186
2001-06-12,Chicago,Total,Bus,W,946314
2001-06-13,Chicago,Total,Bus,W,911372
2001-06-14,Chicago,Total,Bus,W,891710
2001-06-15,Chicago,Total,Bus,W,912712
2001-06-16,Chicago,Total,Bus,A,675335
2001-06-17,Chicago,Total,Bus,U,422714
2001-06-18,Chicago,Total,Bus,W,909937
2001-06-19,Chicago,Total,Bus,W,944122
2001-06-20,Chicago,Total,Bus,W,939471
2001-06-21,Chicago,Total,Bus,W,900375
2001-06-22,Chicago,Total,Bus,W,957514
2001-06-23,Chicago,Total,Bus,A,631716
2001-06-24,Chicago,Total,Bus,U,443240
2001-06-25,Chicago,Total,Bus,W,947130
2001-06-26,Chicago,Total,Bus,W,944301
2001-06-27,Chicago,Total,Bus,W,944274
2001-06-28,Chicago,Total,Bus,W,942731
2001-06-29,Chicago,Total,Bus,W,996694
2001-06-30,Chicago,Total,Bus,A,649995
2001-07-01,Chicago,Total,Bus,U,435317
2001-07-02,Chicago,Total,Bus,W,958879
2001-07-03,Chicago,Total,Bus,W,990209
2001-07-04,Chicago,Total,Bus,U,461383
2001-07-05,Chicago,Total,Bus,W,918500
2001-07-06,Chicago,Total,Bus,W,958011
2001-07-07,Chicago,Total,Bus,A,599172
2001-07-08,Chicago,Total,Bus,U,439513
2001-07-09,Chicago,Total,Bus,W,935542
2001-07-10,Chicago,Total,Bus,W,937066
2001-07-11,Chicago,Total,Bus,W,960775
2001-07-12,Chicago,Total,Bus,W,949551
2001-07-13,Chicago,Total,Bus,W,957097
2001-07-14,Chicago,Total,Bus,A,629660
2001-07-15,Chicago,Total,Bus,U,420137
2001-07-16,Chicago,Total,Bus,W,880246
2001-07-17,Chicago,Total,Bus,W,920250
2001-07-18,Chicago,Total,Bus,W,935427
2001-07-19,Chicago,Total,Bus,W,949691
2001-07-20,Chicago,Total,Bus,W,937942
2001-07-21,Chicago,Total,Bus,A,593545
2001-07-22,Chicago,Total,Bus,U,379766
2001-07-23,Chicago,Total,Bus,W,854318
2001-07-24,Chicago,Total,Bus,W,939133
2001-07-25,Chicago,Total,Bus,W,874776
2001-07-26,Chicago,Total,Bus,W,954848
2001-07-27,Chicago,Total,Bus,W,933625
2001-07-28,Chicago,Total,Bus,A,607195
2001-07-29,Chicago,Total,Bus,U,432534
2001-07-30,Chicago,Total,Bus,W,908372
